Therapeutic Class,Prescriptions,Days Supply,Allowed Amount,Payer Paid,Patient Out of Pocket,Year,Generic v Brand,Average Cost per Prescription,Average Cost per Days Supply,Patient Out of Pocket per Prescription,Payer Paid per Prescription,Patient Out of Pocket per Days Supply,Payer Paid per Days Supply
Anti-Infective Agents,36057,1320532,97471302.44,94100083.07000001,3371219.37,2022,Brand,2703.256023518318,73.81214725580297,93.49694566935686,2609.7590778489616,2.5529251619801716,71.2592220938228
Antihistamines & Comb.,119,2919,66938.11,57228.899999999994,9709.21,2022,Brand,562.5051260504201,22.931863651935593,81.58999999999999,480.9151260504201,3.3262110311750597,19.605652620760534
Antineoplastic Agents,14450,440377,175670349.73,174473175.54,1197174.19,2022,Brand,12157.117628373702,398.9090023548005,82.8494249134948,12074.268203460208,2.7185211534662344,396.1904812013343
Autonomic Drugs,47196,1329381,12134096.8,9955933.0,2178163.8,2022,Brand,257.10011017882874,9.127629174781346,46.15144927536232,210.9486609034664,1.6384797134907148,7.489149461290631
Blood Derivatives,76,2120,790041.26,786742.79,3298.4700000000003,2022,Brand,10395.279736842105,372.6609716981132,43.40092105263158,10351.878815789474,1.5558820754716982,371.1050896226415
Blood Form/Coagul Agents,58838,2847970,51703670.53,46063480.15,5640190.38,2022,Brand,878.7462274380503,18.154569932267545,95.85965498487371,782.8865724531765,1.9804247867779505,16.174145145489593
Cardiovascular Agents,18156,822943,29406374.28,27447719.59,1958654.69,2022,Brand,1619.6504890945143,35.73318477707448,107.87919640890064,1511.7712926856136,2.380061182852275,33.3531235942222
Central Nervous System,140111,4655138,102336177.08,89590765.94,12745411.14,2022,Brand,730.3935956491639,21.983489443277513,90.96652753887989,639.4270681102839,2.7379233741298328,19.24556606914768
Contraceptive Cream/Foam/Devic,671,58135,398991.55,398395.87,595.68,2022,Brand,594.6222801788375,6.863189988819128,0.8877496274217584,593.7345305514158,0.010246495226627676,6.8529434935925
Dental Agents,3259,117352,31731.57,1576.4,30155.170000000002,2022,Brand,9.736597115679656,0.2703964994205467,9.252890457195459,0.48370665848419764,0.2569634092303497,0.013433090190197014
Devices & Non-Drug Items,22786,909413,538649.13,294247.95,244401.18,2022,Brand,23.639477310629335,0.5923041896256156,10.72593610111472,12.913541209514614,0.2687460812634084,0.3235581083622073
Diagnostic Agents,133069,6526593,17795635.38,12871093.44,4924541.9399999995,2022,Brand,133.7323898128039,2.7266347664087522,37.0074317835108,96.72495802929306,0.7545348606845869,1.9720999057241657
"Electrolytic, Caloric, Water",5177,105275,9140417.450000001,8914496.790000001,225920.66,2022,Brand,1765.5818910565968,86.82419805271908,43.639300753332044,1721.9425903032645,2.146004844454999,84.67819320826408
Enzymes,224,6263,7989558.859999999,7957293.85,32265.010000000002,2022,Brand,35667.673482142854,1275.676011496088,144.04022321428573,35523.63325892857,5.151686092926713,1270.5243254031614
"Eye, Ear, Nose Throat",22595,863609,8574254.53,6858458.819999999,1715795.71,2022,Brand,379.4757481743748,9.928398766108273,75.93696437264882,303.538783801726,1.9867737714637064,7.941624994644567
Gastrointestinal Drugs,32131,927681,21677821.060000002,19412646.19,2265174.87,2022,Brand,674.6699779029599,23.367753635139668,70.49811303725375,604.1718648657061,2.4417605513102028,20.925993083829464
Heavy Metal Antagonists,98,3038,1184472.35,1174092.1500000001,10380.2,2022,Brand,12086.45255102041,389.8855661619487,105.92040816326531,11980.532142857144,3.416787360105333,386.46877880184337
Hormones & Synthetic Subst,485109,22943853,326284157.78999996,292599050.94,33685106.85,2022,Brand,672.5996792267304,14.220983624241315,69.4382228530083,603.1614563737222,1.4681538820005515,12.752829742240765
Immunosuppressants,93558,2999644,702624166.76,683815590.8100001,18808575.95,2022,Brand,7510.0383372881,234.23585157438683,201.0365329528207,7309.001804335279,6.270269388634118,227.96558218575274
Misc Therapeutic Agents,14030,462775,75286309.84,72947224.06,2339085.78,2022,Brand,5366.09478545973,162.6844791529361,166.7202979330007,5199.374487526728,5.054477402625466,157.63000175031064
Missing,20,541,1376.71,444.54999999999995,932.16,2022,Brand,68.8355,2.544750462107209,46.608,22.2275,1.7230314232902033,0.8217190388170055
