Year,Drug Name,Generic v Brand,Therapeutic Class,Therapeutic Class - Intermediate,Prescriptions,Days Supply,Allowed Amount,Payer Paid,Patient Out of Pocket,Average Cost per Prescription,Average Cost per Days Supply,Patient Out of Pocket per Prescription,Payer Paid per Prescription,Patient Out of Pocket per Days Supply,Payer Paid per Days Supply
2022,3 DAY VAGINAL CREAM,Generic,Skin & Mucous Membrane,"Antiinf S/MM,Antifungal & Comb",11,33,77.94,16.74,61.2,7.085454545454545,2.361818181818182,5.5636363636363635,1.5218181818181817,1.8545454545454547,0.5072727272727272
2022,ABACAVIR,Generic,Anti-Infective Agents,"Antivirals, NEC",34,1440,9355.910000000002,8498.04,857.87,275.17382352941183,6.497159722222223,25.231470588235293,249.9423529411765,0.5957430555555555,5.901416666666667
2022,ABACAVIR SULFATE-LAMIVUDINE,Generic,Anti-Infective Agents,"Antivirals, NEC",48,2760,64021.880000000005,62246.880000000005,1775.0,1333.7891666666667,23.196333333333335,36.979166666666664,1296.8100000000002,0.6431159420289855,22.55321739130435
2022,ABILIFY,Brand,Central Nervous System,"Psychother,Tranq/Antipsychotic",120,5399,90052.84,70371.86,19680.979999999996,750.4403333333333,16.679540655676977,164.00816666666663,586.4321666666667,3.6453009816632704,13.034239674013707
2022,ABILIFY MAINTENA DUAL-CHAMBERED SYRINGE,Brand,Central Nervous System,"Psychother,Tranq/Antipsychotic",153,4472,211111.1,196383.39000000004,14727.71,1379.8111111111111,47.207312164579605,96.25954248366013,1283.5515686274512,3.293316189624329,43.913995974955284
2022,ABILIFY MAINTENA VIAL,Brand,Central Nervous System,"Psychother,Tranq/Antipsychotic",89,2654,137849.76,129808.51,8041.25,1548.8737078651686,51.94037678975132,90.35112359550561,1458.522584269663,3.029860587792012,48.910516201959304
2022,ABIRATERONE ACETATE,Generic,Antineoplastic Agents,Hormone-Modifying Therapy,837,24765,2844776.62,2834946.87,9829.75,3398.7773237753886,114.87085079749647,11.744026284348864,3387.03329749104,0.39692105794467997,114.47392973955179
2022,ABSORICA,Brand,Vitamins & Comb,"Vitamin A & Derivatives, NEC",22,660,30700.14,28995.14,1705.0,1395.4609090909091,46.51536363636364,77.5,1317.9609090909091,2.5833333333333335,43.9320303030303
2022,ACAMPROSATE CALCIUM,Generic,Misc Therapeutic Agents,"Misc Therapeutic Agents, NEC",1658,58554,298798.89999999997,248308.47,50490.43000000001,180.21646562123038,5.1029630768179794,30.452611580217134,149.76385404101327,0.8622883150596032,4.240674761758377
2022,ACARBOSE,Generic,Hormones & Synthetic Subst,"Antidiabetic Agents, Misc",501,30111,31336.01,18989.010000000006,12346.999999999998,62.54692614770459,1.0406831390521736,24.64471057884231,37.90221556886229,0.4100494835774301,0.6306336554747436
