Year,Drug Name,Generic v Brand,Therapeutic Class,Therapeutic Class - Intermediate,Prescriptions,Days Supply,Allowed Amount,Payer Paid,Patient Out of Pocket,average_cost_per_day_total,average_cost_per_day_payer,average_cost_per_day_oop
2018.0,ALPRAZOLAM XR,Generic,Central Nervous System,"ASH, Benzodiazepines",309.0,8945.0,7264.15,2711.86,4552.29,0.8120905533817775,0.30317048630519844,0.5089200670765791
2018.0,ALPROLIX,Brand,Blood Form/Coagul Agents,"Coag/Anticoag, Hemostatics",28.0,804.0,1660106.44,1658456.44,1650.0,2064.8090049751245,2062.756766169154,2.0522388059701493
2018.0,ALPROSTADIL,Brand,Pharmaceutical Aids/Adjuvants,"Pharmaceutical Aids/Adjuv, NEC",51.0,1082.0,9508.14,7118.19,2389.95,8.787560073937152,6.578733826247689,2.208826247689464
2018.0,ALREX,Brand,"Eye, Ear, Nose Throat","Antiinflam Agents EENT, NEC",247.0,5942.0,67569.35,54484.85,13084.5,11.371482665769102,9.169446314372266,2.202036351396836
2018.0,ALTABAX,Brand,Anti-Infective Agents,"Antibiotics, Misc",13.0,182.0,3492.27,2268.93,1223.34,19.188296703296704,12.46664835164835,6.721648351648351
2018.0,ALTACE,Brand,Cardiovascular Agents,"Cardiac, ACE Inhibitors",17.0,1470.0,10393.19,8798.19,1595.0,7.070197278911565,5.985163265306123,1.0850340136054422
2018.0,ALTAVERA,Generic,Hormones & Synthetic Subst,"Contraceptive, Oral Comb, NEC",9382.0,390893.0,195339.04,195010.96,328.08,0.4997250910095602,0.49888578204265616,0.0008393089669039864
2018.0,ALVESCO,Brand,"Eye, Ear, Nose Throat","Antiinflam Agents EENT, NEC",259.0,8625.0,84104.39,65099.91,19004.48,9.751233623188405,7.547815652173913,2.2034179710144928
2018.0,ALYACEN 1/35,Generic,Hormones & Synthetic Subst,"Contraceptive, Oral Comb, NEC",15715.0,691512.0,385824.27,385266.72,557.55,0.5579429858050186,0.5571367091243535,0.0008062766806649776
2018.0,ALYACEN 7/7/7,Generic,Hormones & Synthetic Subst,"Contraceptive, Oral Comb, NEC",38.0,1512.0,998.01,998.01,0.0,0.6600595238095238,0.6600595238095238,0.0
2018.0,AMABELZ,Generic,Hormones & Synthetic Subst,"Estrogens & Comb, NEC",63.0,4206.0,10714.72,8216.47,2498.25,2.547484545886828,1.9535116500237755,0.5939728958630528
2018.0,AMANTADINE HCL,Generic,Anti-Infective Agents,"Antivirals, NEC",2246.0,84736.0,188584.11,136525.72,52058.39,2.2255488812311177,1.6111891049848943,0.6143597762462235
2018.0,AMBIEN,Brand,Central Nervous System,Anxiolytic/Sedative/Hypnot NEC,245.0,7352.0,119392.31,98173.37,21218.94,16.239432807399346,13.353287540805223,2.886145266594124
2018.0,AMBIEN CR,Brand,Central Nervous System,Anxiolytic/Sedative/Hypnot NEC,79.0,2571.0,35679.78,28905.53,6774.25,13.877782963827304,11.242913263321665,2.63486970050564
2018.0,AMERGE,Brand,Autonomic Drugs,"Vascular 5HT1 Agonist, NEC",53.0,808.0,22460.0,19416.36,3043.64,27.797029702970296,24.030148514851486,3.766881188118812
2018.0,AMETHIA,Generic,Hormones & Synthetic Subst,"Contraceptive, Oral Comb, NEC",279.0,25369.0,38509.0,38509.0,0.0,1.517954984429816,1.517954984429816,0.0
2018.0,AMETHIA LO,Generic,Hormones & Synthetic Subst,"Contraceptive, Oral Comb, NEC",217.0,19918.0,36184.22,36184.22,0.0,1.816659303142886,1.816659303142886,0.0
2018.0,AMETHYST,Generic,Hormones & Synthetic Subst,"Contraceptive, Oral Comb, NEC",243.0,11004.0,16597.31,16597.31,0.0,1.5082978916757543,1.5082978916757543,0.0
2018.0,AMICAR,Brand,Blood Form/Coagul Agents,"Coag/Anticoag, Hemostatics",64.0,803.0,80456.64,75500.75,4955.89,100.19506849315069,94.0233499377335,6.171718555417186
2018.0,AMIKACIN SULFATE,Generic,Anti-Infective Agents,"Antibiot, Aminoglycosides",20.0,590.0,9538.92,9268.92,270.0,16.167661016949154,15.710033898305085,0.4576271186440678
2018.0,AMILORIDE HCL,Generic,"Electrolytic, Caloric, Water","Diuretics, Potassium-Sparing",868.0,40781.0,33070.05,17170.04,15900.01,0.8109180745935608,0.421030381795444,0.3898876927981168
2018.0,AMILORIDE HCL/HYDROCHLOROTHIAZIDE,Generic,"Electrolytic, Caloric, Water","Diuretics, Potassium-Sparing",687.0,35462.0,12865.59,3245.03,9620.56,0.36279933449890023,0.09150724719417969,0.27129208730472054
2018.0,AMIODARONE HCL,Generic,Cardiovascular Agents,"Cardiac, Antiarrhythmic Agents",2646.0,117853.0,71602.29,45984.12,25618.17,0.6075559383299534,0.39018200639780065,0.21737393193215276
2018.0,AMITIZA,Brand,Gastrointestinal Drugs,"Gastrointestinal Drug Misc,NEC",2688.0,98043.0,1053853.73,895060.12,158793.61,10.748893138724846,9.129260834531786,1.619632304193058
2018.0,AMITRIPTYLINE HCL,Brand,Pharmaceutical Aids/Adjuvants,"Pharmaceutical Aids/Adjuv, NEC",16.0,465.0,1193.83,412.07,781.76,2.5673763440860213,0.8861720430107527,1.6812043010752689
2018.0,AMITRIPTYLINE HCL,Generic,Central Nervous System,"Psychother, Antidepressants",56456.0,2210306.0,797758.57,237357.42,560401.15,0.36092675403315194,0.10738667858658485,0.25354007544656715
2018.0,AMITRIPTYLINE/CHLORDIAZEPOXIDE,Brand,Central Nervous System,"Psychother, Antidepressants",48.0,2042.0,5142.53,4417.07,725.46,2.518379040156709,2.1631096963761016,0.35526934378060726
2018.0,AMITRIPTYLINE/CHLORDIAZEPOXIDE,Generic,Central Nervous System,"Psychother, Antidepressants",38.0,1620.0,2452.71,1267.0,1185.71,1.5140185185185184,0.7820987654320988,0.7319197530864198
2018.0,AMITRIPTYLINE/PERPHENAZINE,Generic,Central Nervous System,"Psychother, Antidepressants",17.0,545.0,2002.86,1638.67,364.19,3.67497247706422,3.0067339449541284,0.6682385321100918
