Therapeutic Class,Prescriptions,Days Supply,Allowed Amount,Payer Paid,Patient Out of Pocket,Year,Generic v Brand,Average Cost per Prescription,Average Cost per Days Supply,Patient Out of Pocket per Prescription,Payer Paid per Prescription,Patient Out of Pocket per Days Supply,Payer Paid per Days Supply
Immunosuppressants,26665,1104718,4782427.01,4139253.65,643173.3600000001,2018,Generic,179.3522223888993,4.329093044559788,24.12050853178324,155.23171385711606,0.5822059204249411,3.746887124134847
Misc Therapeutic Agents,205932,9127005,12677638.349999998,10410510.780000001,2267127.57,2018,Generic,61.562255259017526,1.3890250251862466,11.009107715168113,50.553147543849434,0.24839775698599922,1.1406272682002476
Missing,53,2442,2952.38,2762.04,190.34,2018,Generic,55.705283018867924,1.209000819000819,3.591320754716981,52.11396226415094,0.07794430794430794,1.131056511056511
Oxytocics,151,550,80620.94,76981.97,3638.9700000000003,2018,Generic,533.9135099337749,146.58352727272728,24.099139072847684,509.81437086092717,6.616309090909091,139.9672181818182
Pharmaceutical Aids/Adjuvants,29602,381725,471145.36000000004,344685.7,126459.66,2018,Generic,15.915997567731912,1.2342533499246842,4.2719971623538955,11.644000405378016,0.3312847206758792,0.9029686292488048
Respiratory Tract Agents,188051,5091741,3031219.3499999996,1473326.6500000001,1557892.7,2018,Generic,16.119134436934658,0.5953208048091998,8.284415929721192,7.834718507213469,0.30596463959969683,0.289356165209503
Skin & Mucous Membrane,581921,12652304,39461688.58,29026835.85,10434852.73,2018,Generic,67.81279345478166,3.1189330085650804,17.931734256024445,49.88105919875722,0.8247393304808358,2.2941936780842447
Smooth Muscle Relaxants,28366,1162144,1588618.0399999998,1028067.0,560551.04,2018,Generic,56.00430233377987,1.36697176941928,19.761370655009518,36.24293167877036,0.48234215381226425,0.884629615607016
Unknown,18090,615116,320027.23000000004,274771.68,45255.55,2018,Generic,17.690836373687123,0.5202713471930498,2.5016887783305695,15.18914759535655,0.07357238309522107,0.44669896409782867
Vitamins & Comb,171268,7111102,6312086.85,5258552.86,1053533.99,2018,Generic,36.85502750075904,0.8876383505678866,6.151376731204895,30.70365076955415,0.14815340716530292,0.7394849434025837
Anti-Infective Agents,69225,2206133,161398119.53,156442132.32,4955987.21,2018,Brand,2331.5004626941136,73.15883472573957,71.59244795955219,2259.908014734561,2.2464589442250307,70.91237578151453
Antihistamines & Comb.,1565,39780,575494.8799999999,436951.5,138543.37999999998,2018,Brand,367.728357827476,14.466940170940168,88.52612140575079,279.2022364217252,3.48273956762192,10.98420060331825
Antineoplastic Agents,10997,336214,105584919.73,105233853.74,351065.99,2018,Brand,9601.247588433209,314.0408184370669,31.923796489951805,9569.323791943256,1.0441742164216838,312.9966442206452
Autonomic Drugs,306086,7572054,41025800.92,29800647.57,11225153.35,2018,Brand,134.03357526969546,5.418054456558287,36.67320083244578,97.36037443724966,1.4824449680364138,3.9356094885218726
Blood Derivatives,66,1841,711877.8699999999,711277.8699999999,600.0,2018,Brand,10786.028333333332,386.67999456816943,9.090909090909092,10776.937424242422,0.32590983161325365,386.35408473655616
Blood Form/Coagul Agents,51107,2066675,38759143.32,35175317.5,3583825.82,2018,Brand,758.3920660574872,18.75434856472353,70.12397166728628,688.268094390201,1.7341022753940507,17.020246289329478
Cardiovascular Agents,57333,2435854,25901886.06,22188875.450000003,3713010.61,2018,Brand,451.77970906807593,10.633595470007643,64.76218948947377,387.0175195786023,1.5243157471671125,9.109279722840533
Central Nervous System,202739,5945981,109122034.31,96611186.67,12510847.64,2018,Brand,538.2389886011078,18.35223393919355,61.709131642160614,476.5298569589472,2.104084698555209,16.24814924063834
Contraceptive Cream/Foam/Devic,636,29107,390780.28,389816.71,963.5699999999999,2018,Brand,614.4344025157233,13.425646064520564,1.5150471698113206,612.919355345912,0.033104407874394476,13.392541656646168
Dental Agents,6005,187616,64611.520000000004,2045.8600000000001,62565.66,2018,Brand,10.759620316402998,0.3443817158451305,10.418927560366361,0.3406927560366362,0.33347720876684295,0.010904507078287566
Devices & Non-Drug Items,32982,1120127,634735.63,305906.95999999996,328828.67,2018,Brand,19.244910254077983,0.5666639854230815,9.969943302407373,9.274966951670606,0.2935637387546233,0.2731002466684581
Diagnostic Agents,151051,6654349,18832549.97,14442293.450000001,4390256.5200000005,2018,Brand,124.67676460268386,2.8301115511074033,29.06472992565425,95.61203467702963,0.6597574789059005,2.170354072201503
"Electrolytic, Caloric, Water",7020,189793,3390631.59,3205913.71,184717.88,2018,Brand,482.99595299145295,17.86489275157672,26.31308831908832,456.68286467236464,0.9732597092621962,16.89163304231452
Enzymes,68,1931,2728088.17,2718106.69,9981.48,2018,Brand,40118.94367647059,1412.7851734852409,146.7864705882353,39972.15720588235,5.169073019161056,1407.6161004660796
